Story,Diaphragm,OutputCase,CaseType,StepType,StepNumber,UX,UY,RZ,Point,X,Y,Z
Story18,D1,MODAL,LinModEigen,Mode,10,-1E-06,-1.469E-08,-2.103E-08,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,11,-1.379E-08,-1E-06,1.044E-09,1353,19.82,7.0331,47.6
Story18,D1,MODAL,LinModEigen,Mode,12,6.975E-08,-4.238E-08,-7.375E-08,1353,19.82,7.0331,47.6
Story18,D1,PP,LinStatic,None,None,1.4E-05,-0.001802,6.7E-05,1353,19.82,7.0331,47.6
Story18,D1,TERP,LinStatic,None,None,-7E-06,-0.000402,1.6E-05,1353,19.82,7.0331,47.6
Story18,D1,TERT,LinStatic,None,None,-7.161E-08,-2.3E-05,1E-06,1353,19.82,7.0331,47.6
Story18,D1,SCP,LinStatic,None,None,-1.3E-05,-0.000718,2.9E-05,1353,19.82,7.0331,47.6
Story18,D1,SCT,LinStatic,None,None,-7.161E-08,-2.3E-05,1E-06,1353,19.82,7.0331,47.6
Story18,D1,SEx,LinRespSpec,Max,None,0.033153,0.002348,0.001678,1353,19.82,7.0331,47.6
Story18,D1,SEy,LinRespSpec,Max,None,0.002661,0.035815,0.000704,1353,19.82,7.0331,47.6
Story18,D1,SEx_b2,LinRespSpec,Max,None,0.032967,0.002322,0.001494,1353,19.82,7.0331,47.6
Story18,D1,SEy_b2,LinRespSpec,Max,None,0.002142,0.035745,0.000192,1353,19.82,7.0331,47.6
Story18,D1,TorX+,LinStatic,None,None,0,0,0,1353,19.82,7.0331,47.6
Story18,D1,TorX-,LinStatic,None,None,0,0,0,1353,19.82,7.0331,47.6
Story18,D1,TorY+,LinStatic,None,None,0,0,0,1353,19.82,7.0331,47.6
Story18,D1,TorY-,LinStatic,None,None,0,0,0,1353,19.82,7.0331,47.6
Story18,D1,ED1_C1_1.4CP,Combination,None,None,1E-05,-0.003118,0.000118,1353,19.82,7.0331,47.6
Story18,D1,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,-1.2E-05,-0.003833,0.000147,1353,19.82,7.0331,47.6
Story18,D1,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,-5E-06,-0.003428,0.000131,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_XP,Combination,Max,None,0.04641,-0.000104,0.002478,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_XP,Combination,Min,None,-0.046419,-0.006678,-0.002219,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_XN,Combination,Max,None,0.04641,-0.000104,0.002478,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_XN,Combination,Min,None,-0.046419,-0.006678,-0.002219,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_YP,Combination,Max,None,0.003721,0.04675,0.001115,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_YP,Combination,Min,None,-0.00373,-0.053532,-0.000856,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_YN,Combination,Max,None,0.003721,0.04675,0.001115,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_YN,Combination,Min,None,-0.00373,-0.053532,-0.000856,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_XP,Combination,Max,None,0.046421,0.001282,0.002424,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_XP,Combination,Min,None,-0.046408,-0.005291,-0.002273,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_XN,Combination,Max,None,0.046421,0.001282,0.002424,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_XN,Combination,Min,None,-0.046408,-0.005291,-0.002273,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_YP,Combination,Max,None,0.003731,0.048137,0.001061,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_YP,Combination,Min,None,-0.003719,-0.052146,-0.00091,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_YN,Combination,Max,None,0.003731,0.048137,0.001061,1353,19.82,7.0331,47.6
Story18,D1,ED1_DYN_09_YN,Combination,Min,None,-0.003719,-0.052146,-0.00091,1353,19.82,7.0331,47.6
Story17,D1,Dead,LinStatic,None,None,1.2E-05,-0.001644,6.2E-05,1354,19.82,7.0331,45
Story17,D1,Live,LinStatic,None,None,0,0,0,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,1,1.1E-05,1E-06,1E-06,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,2,1E-06,1.5E-05,-1.278E-07,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,3,-1E-05,2E-06,1E-06,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,4,6E-06,1.191E-07,1.323E-07,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,5,-1.165E-07,6E-06,-8.977E-09,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,6,-2E-06,1.127E-07,4.631E-07,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,7,-2E-06,-2.849E-08,-3.755E-08,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,8,-4.723E-09,-2E-06,1.611E-09,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,9,-3.096E-07,3.781E-08,1.469E-07,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,10,-8E-06,-2.604E-08,-1.441E-07,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,11,-4.72E-08,-8E-06,1.997E-08,1354,19.82,7.0331,45
Story17,D1,MODAL,LinModEigen,Mode,12,2E-06,-2.682E-07,-1E-06,1354,19.82,7.0331,45
Story17,D1,PP,LinStatic,None,None,1.2E-05,-0.001644,6.2E-05,1354,19.82,7.0331,45
Story17,D1,TERP,LinStatic,None,None,-7E-06,-0.000367,1.5E-05,1354,19.82,7.0331,45
Story17,D1,TERT,LinStatic,None,None,-6.713E-09,-2.1E-05,1E-06,1354,19.82,7.0331,45
Story17,D1,SCP,LinStatic,None,None,-1.3E-05,-0.000655,2.6E-05,1354,19.82,7.0331,45
Story17,D1,SCT,LinStatic,None,None,-6.713E-09,-2.1E-05,1E-06,1354,19.82,7.0331,45
Story17,D1,SEx,LinRespSpec,Max,None,0.031014,0.002183,0.001557,1354,19.82,7.0331,45
Story17,D1,SEy,LinRespSpec,Max,None,0.002485,0.033236,0.000652,1354,19.82,7.0331,45
Story17,D1,SEx_b2,LinRespSpec,Max,None,0.03084,0.00216,0.001386,1354,19.82,7.0331,45
Story17,D1,SEy_b2,LinRespSpec,Max,None,0.002002,0.033172,0.000178,1354,19.82,7.0331,45
Story17,D1,TorX+,LinStatic,None,None,0,0,0,1354,19.82,7.0331,45
Story17,D1,TorX-,LinStatic,None,None,0,0,0,1354,19.82,7.0331,45
Story17,D1,TorY+,LinStatic,None,None,0,0,0,1354,19.82,7.0331,45
Story17,D1,TorY-,LinStatic,None,None,0,0,0,1354,19.82,7.0331,45
Story17,D1,ED1_C1_1.4CP,Combination,None,None,7E-06,-0.002845,0.000108,1354,19.82,7.0331,45
Story17,D1,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,-1.4E-05,-0.003497,0.000135,1354,19.82,7.0331,45
Story17,D1,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,-6E-06,-0.003127,0.00012,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_XP,Combination,Max,None,0.043413,-3.7E-05,0.002298,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_XP,Combination,Min,None,-0.043426,-0.00615,-0.002061,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_XN,Combination,Max,None,0.043413,-3.7E-05,0.002298,1354,19.82,7.0331,45
