Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story18,ED1_DYN_09_XP,Combination,Max,None,Diaph D1 X,0.001362,0.001262,1.079,15,27.834,0,47.6
Story18,ED1_DYN_09_XP,Combination,Max,None,Diaph D1 Y,0.001286,0.000621,2.069,22,38.505,13.821,47.6
Story18,ED1_DYN_09_XP,Combination,Min,None,Diaph D1 X,0.001326,0.001246,1.064,15,27.834,0,47.6
Story18,ED1_DYN_09_XP,Combination,Min,None,Diaph D1 Y,0.001328,0.000713,1.862,22,38.505,13.821,47.6
Story18,ED1_DYN_09_XN,Combination,Max,None,Diaph D1 X,0.001362,0.001262,1.079,15,27.834,0,47.6
Story18,ED1_DYN_09_XN,Combination,Max,None,Diaph D1 Y,0.001286,0.000621,2.069,22,38.505,13.821,47.6
Story18,ED1_DYN_09_XN,Combination,Min,None,Diaph D1 X,0.001326,0.001246,1.064,15,27.834,0,47.6
Story18,ED1_DYN_09_XN,Combination,Min,None,Diaph D1 Y,0.001328,0.000713,1.862,22,38.505,13.821,47.6
Story18,ED1_DYN_09_YP,Combination,Max,None,Diaph D1 Y,0.001769,0.001555,1.138,2,0,6.446,47.6
Story18,ED1_DYN_09_YP,Combination,Min,None,Diaph D1 Y,0.002003,0.00174,1.151,2,0,6.446,47.6
Story18,ED1_DYN_09_YN,Combination,Max,None,Diaph D1 Y,0.001769,0.001555,1.138,2,0,6.446,47.6
Story18,ED1_DYN_09_YN,Combination,Min,None,Diaph D1 Y,0.002003,0.00174,1.151,2,0,6.446,47.6
Story17,Dead,LinStatic,None,None,Diaph D1 Y,0.000103,6.1E-05,1.689,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,1,Diaph D1 X,4.722E-07,2.97E-07,1.59,15,27.834,0,45
Story17,MODAL,LinModEigen,Mode,2,Diaph D1 Y,1E-06,4.457E-07,1.171,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,3,Diaph D1 X,4.555E-07,2.624E-07,1.736,53,25.115,13.821,45
Story17,MODAL,LinModEigen,Mode,3,Diaph D1 Y,1E-06,2.757E-08,20.513,22,38.505,13.821,45
Story17,MODAL,LinModEigen,Mode,4,Diaph D1 X,2E-06,1E-06,1.171,15,27.834,0,45
Story17,MODAL,LinModEigen,Mode,5,Diaph D1 Y,2E-06,1E-06,1.035,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,6,Diaph D1 X,1E-06,3.987E-07,3.133,53,25.115,13.821,45
Story17,MODAL,LinModEigen,Mode,6,Diaph D1 Y,2E-06,4.43E-08,54.491,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,7,Diaph D1 X,2E-06,2E-06,1.135,15,27.834,0,45
Story17,MODAL,LinModEigen,Mode,8,Diaph D1 Y,2E-06,2E-06,1.028,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,9,Diaph D1 X,2E-06,4.268E-07,3.613,53,25.115,13.821,45
Story17,MODAL,LinModEigen,Mode,9,Diaph D1 Y,3E-06,5.967E-08,53.071,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,10,Diaph D1 X,2E-06,2E-06,1.121,15,27.834,0,45
Story17,MODAL,LinModEigen,Mode,11,Diaph D1 Y,2E-06,2E-06,1.055,2,0,6.446,45
