Story,Label,UniqueName,OutputCase,CaseType,StepType,StepNumber,DispX,DispY,DriftX,DriftY
Story20,4,137,ED1_DYN_09_XP,Combination,Max,None,0.055522,0.03732,0.00122,0.000882
Story20,4,137,ED1_DYN_09_XP,Combination,Min,None,-0.054834,-0.045011,0.001199,0.001104
Story20,4,137,ED1_DYN_09_XN,Combination,Max,None,0.055522,0.03732,0.00122,0.000882
Story20,4,137,ED1_DYN_09_XN,Combination,Min,None,-0.054834,-0.045011,0.001199,0.001104
Story20,4,137,ED1_DYN_09_YP,Combination,Max,None,0.006486,0.069886,0.000149,0.001676
Story20,4,137,ED1_DYN_09_YP,Combination,Min,None,-0.005798,-0.077577,0.000128,0.001897
Story20,4,137,ED1_DYN_09_YN,Combination,Max,None,0.006486,0.069886,0.000149,0.001676
Story20,4,137,ED1_DYN_09_YN,Combination,Min,None,-0.005798,-0.077577,0.000128,0.001897
Story20,5,117,Dead,LinStatic,None,None,-5.8E-05,-0.003386,1E-06,9.8E-05
Story20,5,117,Live,LinStatic,None,None,0,0,0,0
Story20,5,117,MODAL,LinModEigen,Mode,1,1.2E-05,-1.6E-05,2.546E-07,3.817E-07
Story20,5,117,MODAL,LinModEigen,Mode,2,1E-06,2.1E-05,2.05E-08,4.981E-07
Story20,5,117,MODAL,LinModEigen,Mode,3,-1.3E-05,-1.6E-05,2.778E-07,3.976E-07
Story20,5,117,MODAL,LinModEigen,Mode,4,1.7E-05,-6E-06,1E-06,1E-06
Story20,5,117,MODAL,LinModEigen,Mode,5,-2.663E-07,1.8E-05,1.933E-08,2E-06
Story20,5,117,MODAL,LinModEigen,Mode,6,-6E-06,-2.3E-05,1E-06,2E-06
Story20,5,117,MODAL,LinModEigen,Mode,7,1.6E-05,-5E-06,2E-06,1E-06
Story20,5,117,MODAL,LinModEigen,Mode,8,-5.597E-08,1.7E-05,5.071E-09,2E-06
Story20,5,117,MODAL,LinModEigen,Mode,9,5E-06,2.2E-05,1E-06,3E-06
Story20,5,117,MODAL,LinModEigen,Mode,10,1.5E-05,-4E-06,3E-06,1E-06
Story20,5,117,MODAL,LinModEigen,Mode,11,1.232E-07,1.6E-05,2.714E-08,3E-06
Story20,5,117,MODAL,LinModEigen,Mode,12,-4E-06,-2E-05,1E-06,4E-06
Story20,5,117,PP,LinStatic,None,None,-5.8E-05,-0.003386,1E-06,9.8E-05
Story20,5,117,TERP,LinStatic,None,None,-2.6E-05,-0.000774,1E-06,2.2E-05
Story20,5,117,TERT,LinStatic,None,None,-1E-06,-4.4E-05,6.739E-08,1E-06
Story20,5,117,SCP,LinStatic,None,None,-4.6E-05,-0.001383,1E-06,4E-05
Story20,5,117,SCT,LinStatic,None,None,-1E-06,-4.4E-05,6.739E-08,1E-06
Story20,5,117,SEx,LinRespSpec,Max,None,0.036975,0.028062,0.000803,0.000677
Story20,5,117,SEy,LinRespSpec,Max,None,0.002651,0.052169,5.8E-05,0.001264
Story20,5,117,SEx_b2,LinRespSpec,Max,None,0.036967,0.024666,0.000803,0.000595
Story20,5,117,SEy_b2,LinRespSpec,Max,None,0.002627,0.042713,5.8E-05,0.001034
Story20,5,117,TorX+,LinStatic,None,None,0,0,0,0
Story20,5,117,TorX-,LinStatic,None,None,0,0,0,0
Story20,5,117,TorY+,LinStatic,None,None,0,0,0,0
Story20,5,117,TorY-,LinStatic,None,None,0,0,0,0
Story20,5,117,ED1_C1_1.4CP,Combination,None,None,-0.000119,-0.005885,3E-06,0.00017
Story20,5,117,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,-0.000176,-0.007279,4E-06,0.00021
Story20,5,117,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,-0.00015,-0.006497,4E-06,0.000187
Story20,5,117,ED1_DYN_XP,Combination,Max,None,0.051618,0.03286,0.001121,0.000763
Story20,5,117,ED1_DYN_XP,Combination,Min,None,-0.051913,-0.045714,0.001128,0.001133
Story20,5,117,ED1_DYN_XN,Combination,Max,None,0.051618,0.03286,0.001121,0.000763
Story20,5,117,ED1_DYN_XN,Combination,Min,None,-0.051913,-0.045714,0.001128,0.001133
Story20,5,117,ED1_DYN_YP,Combination,Max,None,0.003564,0.066609,7.8E-05,0.001584
Story20,5,117,ED1_DYN_YP,Combination,Min,None,-0.003859,-0.079464,8.5E-05,0.001955
Story20,5,117,ED1_DYN_YN,Combination,Max,None,0.003564,0.066609,7.8E-05,0.001584
Story20,5,117,ED1_DYN_YN,Combination,Min,None,-0.003859,-0.079464,8.5E-05,0.001955
Story20,5,117,ED1_DYN_09_XP,Combination,Max,None,0.051689,0.035503,0.001122,0.000839
Story20,5,117,ED1_DYN_09_XP,Combination,Min,None,-0.051842,-0.04307,0.001126,0.001057
Story20,5,117,ED1_DYN_09_XN,Combination,Max,None,0.051689,0.035503,0.001122,0.000839
Story20,5,117,ED1_DYN_09_XN,Combination,Min,None,-0.051842,-0.04307,0.001126,0.001057
Story20,5,117,ED1_DYN_09_YP,Combination,Max,None,0.003635,0.069253,7.9E-05,0.00166
Story20,5,117,ED1_DYN_09_YP,Combination,Min,None,-0.003787,-0.07682,8.3E-05,0.001879
Story20,5,117,ED1_DYN_09_YN,Combination,Max,None,0.003635,0.069253,7.9E-05,0.00166
Story20,5,117,ED1_DYN_09_YN,Combination,Min,None,-0.003787,-0.07682,8.3E-05,0.001879
Story20,6,119,Dead,LinStatic,None,None,-0.000518,-0.003386,1.5E-05,9.8E-05
Story20,6,119,Live,LinStatic,None,None,0,0,0,0
Story20,6,119,MODAL,LinModEigen,Mode,1,6E-06,-1.6E-05,1.098E-07,3.817E-07
Story20,6,119,MODAL,LinModEigen,Mode,2,2E-06,2.1E-05,4.342E-08,4.981E-07
Story20,6,119,MODAL,LinModEigen,Mode,3,-2E-05,-1.6E-05,4.379E-07,3.976E-07
Story20,6,119,MODAL,LinModEigen,Mode,4,1.4E-05,-6E-06,1E-06,1E-06
Story20,6,119,MODAL,LinModEigen,Mode,5,-8.971E-08,1.8E-05,0,2E-06
Story20,6,119,MODAL,LinModEigen,Mode,6,-1.5E-05,-2.3E-05,1E-06,2E-06
Story20,6,119,MODAL,LinModEigen,Mode,7,1.4E-05,-5E-06,2E-06,1E-06
Story20,6,119,MODAL,LinModEigen,Mode,8,7.446E-08,1.7E-05,1.183E-08,2E-06
Story20,6,119,MODAL,LinModEigen,Mode,9,1.3E-05,2.2E-05,2E-06,3E-06
Story20,6,119,MODAL,LinModEigen,Mode,10,1.4E-05,-4E-06,3E-06,1E-06
Story20,6,119,MODAL,LinModEigen,Mode,11,3.624E-07,1.6E-05,7.284E-08,3E-06
Story20,6,119,MODAL,LinModEigen,Mode,12,-1.2E-05,-2E-05,2E-06,4E-06
Story20,6,119,PP,LinStatic,None,None,-0.000518,-0.003386,1.5E-05,9.8E-05
Story20,6,119,TERP,LinStatic,None,None,-0.000135,-0.000774,4E-06,2.2E-05
Story20,6,119,TERT,LinStatic,None,None,-7E-06,-4.4E-05,2.905E-07,1E-06
Story20,6,119,SCP,LinStatic,None,None,-0.000241,-0.001383,7E-06,4E-05
Story20,6,119,SCT,LinStatic,None,None,-7E-06,-4.4E-05,2.905E-07,1E-06
Story20,6,119,SEx,LinRespSpec,Max,None,0.038785,0.028062,0.00085,0.000677
Story20,6,119,SEy,LinRespSpec,Max,None,0.007295,0.052169,0.000172,0.001264
Story20,6,119,SEx_b2,LinRespSpec,Max,None,0.037568,0.024666,0.00082,0.000595
Story20,6,119,SEy_b2,LinRespSpec,Max,None,0.003906,0.042713,8.9E-05,0.001034
