Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story18,SEx_b2,LinRespSpec,Max,None,Bottom,0,249.6601,13.3669,2183.3827,67.1289,1298.7348
Story18,SEy_b2,LinRespSpec,Max,None,Top,0,12.3966,247.9327,4858.1216,646.9667,30.0157
Story18,SEy_b2,LinRespSpec,Max,None,Bottom,0,12.3966,247.9327,4858.1216,1289.4314,62.2246
Story18,TorX+,LinStatic,None,None,Top,0,0,0,0,0,0
Story18,TorX+,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story18,TorX-,LinStatic,None,None,Top,0,0,0,0,0,0
Story18,TorX-,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story18,TorY+,LinStatic,None,None,Top,0,0,0,0,0,0
Story18,TorY+,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story18,TorY-,LinStatic,None,None,Top,0,0,0,0,0,0
Story18,TorY-,LinStatic,None,None,Bottom,0,0,0,0,0,0
Story18,ED1_C1_1.4CP,Combination,None,None,Top,1748.8289,0,0,0,12213.0889,-34647.5479
Story18,ED1_C1_1.4CP,Combination,None,None,Bottom,2088.4155,0,0,0,14718.8593,-41396.8124
Story18,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Top,1898.8972,0,0,0,13198.3736,-37612.3468
Story18,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Bottom,2189.9713,0,0,0,15346.1768,-43397.4306
Story18,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Top,1809.5076,0,0,0,12588.1357,-35843.2347
Story18,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Bottom,2100.5817,0,0,0,14735.9389,-41628.3186
Story18,ED1_DYN_XP,Combination,Max,None,Top,1734.2321,349.5242,18.7137,3298.2744,12119.6072,-33440.8714
Story18,ED1_DYN_XP,Combination,Max,None,Bottom,2025.3062,349.5242,18.7137,3298.2744,14316.0348,-38320.3113
Story18,ED1_DYN_XP,Combination,Min,None,Top,1734.2321,-349.5242,-18.7137,-3298.2744,12028.8952,-35266.0409
Story18,ED1_DYN_XP,Combination,Min,None,Bottom,2025.3062,-349.5242,-18.7137,-3298.2744,14128.0739,-41956.7687
Story18,ED1_DYN_XN,Combination,Max,None,Top,1734.2321,349.5242,18.7137,3298.2744,12119.6072,-33440.8714
Story18,ED1_DYN_XN,Combination,Max,None,Bottom,2025.3062,349.5242,18.7137,3298.2744,14316.0348,-38320.3113
Story18,ED1_DYN_XN,Combination,Min,None,Top,1734.2321,-349.5242,-18.7137,-3298.2744,12028.8952,-35266.0409
Story18,ED1_DYN_XN,Combination,Min,None,Bottom,2025.3062,-349.5242,-18.7137,-3298.2744,14128.0739,-41956.7687
Story18,ED1_DYN_YP,Combination,Max,None,Top,1734.2321,17.3552,347.1057,7469.6356,12980.0045,-34311.4341
Story18,ED1_DYN_YP,Combination,Max,None,Bottom,2025.3062,17.3552,347.1057,7469.6356,16027.2584,-40051.4256
Story18,ED1_DYN_YP,Combination,Min,None,Top,1734.2321,-17.3552,-347.1057,-7469.6356,11168.4978,-34395.4782
Story18,ED1_DYN_YP,Combination,Min,None,Bottom,2025.3062,-17.3552,-347.1057,-7469.6356,12416.8503,-40225.6545
Story18,ED1_DYN_YN,Combination,Max,None,Top,1734.2321,17.3552,347.1057,7469.6356,12980.0045,-34311.4341
