Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story18,ED1_DYN_XN,Combination,Max,None,Y,0.001272,22,38.505,13.821,47.6
Story18,ED1_DYN_XN,Combination,Min,None,X,0.001314,15,27.834,0,47.6
Story18,ED1_DYN_XN,Combination,Min,None,Y,0.001409,2,0,6.446,47.6
Story18,ED1_DYN_YP,Combination,Max,None,Y,0.001688,2,0,6.446,47.6
Story18,ED1_DYN_YP,Combination,Min,None,Y,0.002085,2,0,6.446,47.6
Story18,ED1_DYN_YN,Combination,Max,None,Y,0.001688,2,0,6.446,47.6
Story18,ED1_DYN_YN,Combination,Min,None,Y,0.002085,2,0,6.446,47.6
Story18,ED1_DYN_09_XP,Combination,Max,None,X,0.001362,15,27.834,0,47.6
Story18,ED1_DYN_09_XP,Combination,Max,None,Y,0.001286,22,38.505,13.821,47.6
Story18,ED1_DYN_09_XP,Combination,Min,None,X,0.001326,15,27.834,0,47.6
Story18,ED1_DYN_09_XP,Combination,Min,None,Y,0.001328,22,38.505,13.821,47.6
Story18,ED1_DYN_09_XN,Combination,Max,None,X,0.001362,15,27.834,0,47.6
Story18,ED1_DYN_09_XN,Combination,Max,None,Y,0.001286,22,38.505,13.821,47.6
Story18,ED1_DYN_09_XN,Combination,Min,None,X,0.001326,15,27.834,0,47.6
Story18,ED1_DYN_09_XN,Combination,Min,None,Y,0.001328,22,38.505,13.821,47.6
Story18,ED1_DYN_09_YP,Combination,Max,None,Y,0.001769,2,0,6.446,47.6
Story18,ED1_DYN_09_YP,Combination,Min,None,Y,0.002003,2,0,6.446,47.6
Story18,ED1_DYN_09_YN,Combination,Max,None,Y,0.001769,2,0,6.446,47.6
Story18,ED1_DYN_09_YN,Combination,Min,None,Y,0.002003,2,0,6.446,47.6
Story17,Dead,LinStatic,None,None,Y,0.000103,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,1,X,4.722E-07,15,27.834,0,45
Story17,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,3,X,4.555E-07,53,25.115,13.821,45
Story17,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,45
Story17,MODAL,LinModEigen,Mode,4,X,2E-06,15,27.834,0,45
